"n","n_rep","size_mean","size_q05","size_q95","size_min","share_undeclarable","share_under_events","share_nonestimable","e0_mean","e0_min","e1_mean","e1_min","ne0_mean","ne0_min","ne1_mean","ne1_min","prev_target","sg_quantile","prevalence","target_or_h","beta_inter","marg_H"
500,200,59.655,50,71,40,0.565,0.135,0,15.815,6,14.175,5,13.515,5,16.15,7,0.12,0.66775,0.11923,0.75,0.14986796266954,0.749999994695391
750,200,89.255,76,104,69,0,0.01,0,24.59,13,20.5,8,20.295,10,23.87,11,0.12,0.66775,0.11923,0.75,0.14986796266954,0.749999994695391
1000,200,119.41,102,136.05,91,0,0,0,33.21,16,27.41,16,27.46,12,31.33,19,0.12,0.66775,0.11923,0.75,0.14986796266954,0.749999994695391
2000,200,238.45,212,262.05,202,0,0,0,64.03,44,55.955,38,55.355,35,63.11,34,0.12,0.66775,0.11923,0.75,0.14986796266954,0.749999994695391
500,200,59.655,50,71,40,0.565,0.095,0,15.815,6,16.21,7,13.515,5,14.115,6,0.12,0.66775,0.11923,1,0.45983073122739,0.999999999951218
750,200,89.255,76,104,69,0,0,0,24.59,13,23.545,14,20.295,10,20.825,9,0.12,0.66775,0.11923,1,0.45983073122739,0.999999999951218
1000,200,119.41,102,136.05,91,0,0,0,33.21,16,31.785,20,27.46,12,26.955,13,0.12,0.66775,0.11923,1,0.45983073122739,0.999999999951218
2000,200,238.45,212,262.05,202,0,0,0,64.03,44,64.57,42,55.355,35,54.495,36,0.12,0.66775,0.11923,1,0.45983073122739,0.999999999951218
500,200,59.655,50,71,40,0.565,0.04,0,15.815,6,19.46,10,13.515,5,10.865,4,0.12,0.66775,0.11923,1.5,0.894252849101473,1.50000000015811
750,200,89.255,76,104,69,0,0,0,24.59,13,28.34,16,20.295,10,16.03,3,0.12,0.66775,0.11923,1.5,0.894252849101473,1.50000000015811
1000,200,119.41,102,136.05,91,0,0,0,33.21,16,37.53,24,27.46,12,21.21,10,0.12,0.66775,0.11923,1.5,0.894252849101473,1.50000000015811
2000,200,238.45,212,262.05,202,0,0,0,64.03,44,75.98,58,55.355,35,43.085,24,0.12,0.66775,0.11923,1.5,0.894252849101473,1.50000000015811
500,200,62.07,51,73.05,42,0.43,0.095,0,16.39,6,14.67,5,14.13,5,16.88,7,0.124,0.6585,0.12404,0.75,0.150006882354043,0.749999994636083
750,200,92.975,79,107,73,0,0.005,0,25.41,13,21.255,9,21.26,10,25.05,12,0.124,0.6585,0.12404,0.75,0.150006882354043,0.749999994636083
1000,200,124.37,107.95,142,95,0,0,0,34.21,16,28.325,16,28.89,14,32.945,20,0.124,0.6585,0.12404,0.75,0.150006882354043,0.749999994636083
2000,200,248.21,222.95,272,212,0,0,0,66.28,46,57.715,40,58.03,38,66.185,38,0.124,0.6585,0.12404,0.75,0.150006882354043,0.749999994636083
500,200,62.07,51,73.05,42,0.43,0.065,0,16.39,6,16.705,7,14.13,5,14.845,7,0.124,0.6585,0.12404,1,0.459830731227391,0.9999999999512
750,200,92.975,79,107,73,0,0,0,25.41,13,24.405,15,21.26,10,21.9,9,0.124,0.6585,0.12404,1,0.459830731227391,0.9999999999512
1000,200,124.37,107.95,142,95,0,0,0,34.21,16,32.975,22,28.89,14,28.295,16,0.124,0.6585,0.12404,1,0.459830731227391,0.9999999999512
2000,200,248.21,222.95,272,212,0,0,0,66.28,46,66.78,44,58.03,38,57.12,36,0.124,0.6585,0.12404,1,0.459830731227391,0.9999999999512
500,200,62.07,51,73.05,42,0.43,0.025,0,16.39,6,20.095,10,14.13,5,11.455,5,0.124,0.6585,0.12404,1.5,0.894115554449398,1.50000000015789
750,200,92.975,79,107,73,0,0,0,25.41,13,29.375,16,21.26,10,16.93,4,0.124,0.6585,0.12404,1.5,0.894115554449398,1.50000000015789
1000,200,124.37,107.95,142,95,0,0,0,34.21,16,38.995,24,28.89,14,22.275,11,0.124,0.6585,0.12404,1.5,0.894115554449398,1.50000000015789
2000,200,248.21,222.95,272,212,0,0,0,66.28,46,78.81,60,58.03,38,45.09,27,0.124,0.6585,0.12404,1.5,0.894115554449398,1.50000000015789
500,200,66.295,55,78.05,47,0.22,0.055,0,17.46,7,15.72,8,15.025,5,18.09,8,0.13,0.6516,0.13215,0.75,0.151009555665168,0.749999994103654
750,200,99.28,85.95,114.05,80,0,0,0,27.19,15,22.675,11,22.755,11,26.66,12,0.13,0.6516,0.13215,0.75,0.151009555665168,0.749999994103654
1000,200,132.77,115.95,152,103,0,0,0,36.395,17,30.28,18,30.755,16,35.34,23,0.13,0.6516,0.13215,0.75,0.151009555665168,0.749999994103654
2000,200,264.845,239,289,228,0,0,0,70.835,51,61.58,43,61.765,40,70.665,39,0.13,0.6516,0.13215,0.75,0.151009555665168,0.749999994103654
500,200,66.295,55,78.05,47,0.22,0.035,0,17.46,7,17.9,8,15.025,5,15.91,7,0.13,0.6516,0.13215,1,0.459830731226033,0.999999999949781
750,200,99.28,85.95,114.05,80,0,0,0,27.19,15,26.14,16,22.755,11,23.195,9,0.13,0.6516,0.13215,1,0.459830731226033,0.999999999949781
1000,200,132.77,115.95,152,103,0,0,0,36.395,17,35.355,23,30.755,16,30.265,19,0.13,0.6516,0.13215,1,0.459830731226033,0.999999999949781
2000,200,264.845,239,289,228,0,0,0,70.835,51,71.375,49,61.765,40,60.87,38,0.13,0.6516,0.13215,1,0.459830731226033,0.999999999949781
