"q_lo","q_hi","q_mid","prev_sample","prev_super"
0.6,0.6035,0.60175,0.170821791320406,0.17319
0.6036,0.6062,0.6049,0.167128347183749,0.1694
0.6063,0.6099,0.6081,0.16528162511542,0.16754
0.61,0.6118,0.6109,0.164358264081256,0.16642
0.6119,0.6127,0.6123,0.162511542012927,0.16481
0.6128,0.6164,0.6146,0.161588180978763,0.16396
0.6165,0.6173,0.6169,0.160664819944598,0.16308
0.6174,0.6201,0.61875,0.15881809787627,0.16124
0.6202,0.621,0.6206,0.157894736842105,0.16019
0.6211,0.6256,0.62335,0.153277931671283,0.15568
0.6257,0.6266,0.62615,0.15050784856879,0.15299
0.6267,0.6303,0.6285,0.146814404432133,0.14917
0.6304,0.6358,0.6331,0.144967682363804,0.14732
0.6359,0.6367,0.6363,0.14404432132964,0.14635
0.6368,0.6423,0.63955,0.134810710987996,0.13686
0.6424,0.6451,0.64375,0.133887349953832,0.13601
0.6452,0.6469,0.64605,0.132963988919668,0.135
0.647,0.6497,0.64835,0.131117266851339,0.13324
0.6498,0.6534,0.6516,0.130193905817175,0.13215
0.6535,0.658,0.65575,0.125577100646353,0.12763
0.6581,0.6589,0.6585,0.121883656509695,0.12404
0.659,0.6626,0.6608,0.120960295475531,0.12301
0.6627,0.6672,0.66495,0.119113573407202,0.12104
0.6673,0.6682,0.66775,0.117266851338874,0.11923
0.6683,0.67,0.66915,0.116343490304709,0.11822
0.6701,0.6709,0.6705,0.115420129270545,0.11743
0.671,0.6746,0.6728,0.112650046168052,0.11452
0.6747,0.6783,0.6765,0.110803324099723,0.11257
0.6784,0.6811,0.67975,0.109879963065559,0.11161
0.6812,0.682,0.6816,0.108956602031394,0.11078
0.6821,0.6839,0.683,0.10803324099723,0.10966
0.684,0.6848,0.6844,0.106186518928901,0.10796
0.6849,0.6931,0.689,0.104339796860572,0.10599
0.6932,0.694,0.6936,0.101569713758079,0.1034
0.6941,0.695,0.69455,0.100646352723915,0.10246
