"campaign","identifier","cell","block","estimator","metric","tau","value","mc_se","wilson_lo","wilson_hi","n","commit"
"mddina","dina","md40 n500","H","all","declaration_rate",,0.998,0.000998999,0.994869,0.999222,2000,"1856c107"
"mddina","dina","md40 n500","H","naive","bias_md",,61.464402,0.386483,,,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","bias_sd_units",,3.5907814,0.0225785,,,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","sd_emp",,17.117278,0.270987,,,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","se_mean",,25.673605,0.0891181,,,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","se_over_sd",,1.499865,0.0243087,,,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","cov1_lower",,0.11072144,0.00702351,0.0976963,0.125242,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","cov2",,0.24448898,0.00961988,0.226137,0.263823,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","halfwidth_md",,50.319342,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","margin1_md",,42.229323,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","bias_md",,-0.66158986,0.447519,,,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","bias_sd_units",,-0.03309001,0.0223831,,,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","sd_emp",,19.993644,0.316523,,,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","se_mean",,19.807516,0.0272718,,,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","se_over_sd",,0.99069066,0.015743,,,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","cov1_lower",,0.95240481,0.00476554,0.942164,0.960907,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","cov2",,0.94288577,0.00519423,0.931829,0.952241,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","halfwidth_md",,38.822731,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","oracle","margin1_md",,32.580464,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","bias_md",,19.566096,0.406715,,,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","bias_sd_units",,1.0841183,0.0225353,,,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","sd_emp",,18.047934,0.28572,,,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","se_mean",,34.641189,0.10954,,,1996,"1856c107"
"mddina","dina","md40 n500","H","mr","se_over_sd",,1.9193992,0.0309866,,,1996,"1856c107"
