"campaign","cell","block","estimator","metric","tau","value","mc_se","wilson_lo","wilson_hi","n","commit"
"mdsgnb20","md40 n500","H","all","declaration_rate",,0.999,0.000706753,0.996361,0.999726,2000,"72e6f129"
"mdsgnb20","md40 n500","H","naive","bias_md",,58.836883,0.37809,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","naive","bias_sd_units",,3.5359251,0.0227221,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","naive","sd_emp",,16.639742,0.263295,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","naive","se_mean",,25.361965,0.0877854,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","naive","se_over_sd",,1.5241802,0.0246878,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","naive","cov1_lower",,0.13663664,0.00768392,0.122272,0.152396,1998,"72e6f129"
"mdsgnb20","md40 n500","H","naive","cov2",,0.29279279,0.0101802,0.273253,0.313128,1998,"72e6f129"
"mdsgnb20","md40 n500","H","naive","halfwidth_md",,49.708539,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","naive","margin1_md",,41.716721,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","bias_md",,-0.66036185,0.447101,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","bias_sd_units",,-0.033042934,0.0223719,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","sd_emp",,19.984964,0.316227,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","se_mean",,19.806224,0.0272979,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","se_over_sd",,0.9910563,0.0157411,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","cov1_lower",,0.95245245,0.00476089,0.942222,0.960947,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","cov2",,0.94294294,0.00518919,0.931897,0.952289,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","halfwidth_md",,38.8202,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","margin1_md",,32.57834,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","bias_md",,14.979782,0.442124,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","bias_sd_units",,0.76465862,0.0225687,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","sd_emp",,19.590157,0.30998,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","se_mean",,33.232131,0.0995701,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","se_over_sd",,1.6963688,0.0273191,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","cov1_lower",,0.97547548,0.00346028,0.967726,0.9814,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","cov2",,0.995996,0.00141279,0.992119,0.99797,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","halfwidth_md",,65.13378,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","margin1_md",,54.661991,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","bias_md",,7.0671743,0.47809,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","bias_sd_units",,0.33280038,0.0225138,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","sd_emp",,21.235476,0.336014,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","se_mean",,24.943124,0.041504,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","se_over_sd",,1.1745969,0.0186884,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","cov1_lower",,0.94794795,0.00496951,0.93732,0.956857,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","cov2",,0.97497497,0.00349451,0.967161,0.980966,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","halfwidth_md",,48.812897,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","margin1_md",,50.386654,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","share_lower_ge_tau",0,0.41191191,0.011011,0.39052,0.433642,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","share_lower_ge_tau",10,0.24974975,0.00968407,0.231262,0.269198,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","share_lower_ge_tau",20,0.12562563,0.00741464,0.111808,0.14088,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","share_lower_ge_tau",30,0.055055055,0.00510275,0.0458809,0.0659369,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","share_lower_ge_tau",40,0.027027027,0.00362787,0.0207732,0.0350961,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","share_lower_ge_tau",60,0.005005005,0.00157876,0.0027209,0.00918886,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","share_lower_ge_tau",80,0.0005005005,0.000500375,8.83561e-05,0.00282969,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","share_lower_ge_tau",100,0,0,-1.0842e-19,0.00191896,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","bound_mean",,-3.5258519,0.463785,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","bound_q05",,-35.213759,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","bound_q25",,-18.049932,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","bound_q50",,-3.9427921,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","bound_q75",,9.9712945,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","fld","bound_q95",,31.194914,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","share_lower_ge_tau",0,0.63863864,0.0107473,0.617327,0.659418,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","share_lower_ge_tau",10,0.44244244,0.0111116,0.420795,0.464311,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","share_lower_ge_tau",20,0.25175175,0.00970982,0.23321,0.271247,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","share_lower_ge_tau",30,0.11861862,0.0072337,0.105167,0.133534,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","share_lower_ge_tau",40,0.047547548,0.00476089,0.0390532,0.0577783,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","share_lower_ge_tau",60,0.003003003,0.00122413,0.00137701,0.00653644,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","share_lower_ge_tau",80,0,0,-1.0842e-19,0.00191896,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","share_lower_ge_tau",100,0,0,-1.0842e-19,0.00191896,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","bound_mean",,6.761298,0.448719,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","bound_q05",,-27.005266,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","bound_q25",,-5.8771143,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","bound_q50",,7.277721,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","bound_q75",,20.108205,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","oracle","bound_q95",,39.777691,,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","share_lower_ge_tau",0,0.33383383,0.0105502,0.313492,0.354813,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","share_lower_ge_tau",10,0.17617618,0.00852301,0.160097,0.193498,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","share_lower_ge_tau",20,0.066566567,0.00557663,0.0564472,0.0783494,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","share_lower_ge_tau",30,0.026526527,0.00359505,0.0203373,0.0345329,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","share_lower_ge_tau",40,0.0085085085,0.00205482,0.00531909,0.0135842,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","share_lower_ge_tau",60,0.001001001,0.00070746,0.000274554,0.00364257,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","share_lower_ge_tau",80,0,0,-1.0842e-19,0.00191896,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","share_lower_ge_tau",100,0,0,-1.0842e-19,0.00191896,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","bound_mean",,-7.8011892,0.418141,,,1998,"72e6f129"
"mdsgnb20","md40 n500","H","mr","bound_q05",,-37.341593,,,,1998,"72e6f129"
