"campaign","identifier","cell","block","estimator","metric","tau","value","mc_se","wilson_lo","wilson_hi","n","commit"
"mdgrf","grf","md40 n500","H","all","declaration_rate",,1,0,0.998083,1,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","naive","bias_md",,58.623768,0.400804,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","naive","bias_sd_units",,3.2933113,0.022516,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","naive","sd_emp",,17.800858,0.281527,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","naive","se_mean",,25.810417,0.0976926,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","naive","se_over_sd",,1.4499535,0.0235791,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","naive","cov1_lower",,0.158,0.00815586,0.142672,0.174639,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","naive","cov2",,0.32,0.0104307,0.299918,0.340772,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","naive","halfwidth_md",,50.587488,,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","naive","margin1_md",,42.454358,,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","oracle","bias_md",,-0.68368566,0.446965,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","oracle","bias_sd_units",,-0.034203281,0.0223607,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","oracle","sd_emp",,19.988891,0.316131,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","oracle","se_mean",,19.806709,0.027273,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","oracle","se_over_sd",,0.99088583,0.0157305,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","oracle","cov1_lower",,0.9525,0.00475625,0.942279,0.960986,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","oracle","cov2",,0.943,0.00518416,0.931964,0.952337,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","oracle","halfwidth_md",,38.821149,,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","oracle","margin1_md",,32.579137,,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","mr","bias_md",,15.421959,0.464994,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","mr","bias_sd_units",,0.74489256,0.0224596,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","mr","sd_emp",,20.703601,0.327435,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","mr","se_mean",,33.70335,0.109474,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","mr","se_over_sd",,1.6278979,0.0262832,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","mr","cov1_lower",,0.9685,0.00390562,0.959902,0.975302,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","mr","cov2",,0.9915,0.00205277,0.986429,0.994686,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","mr","halfwidth_md",,66.057353,,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","mr","margin1_md",,55.437078,,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","fld","bias_md",,7.4003715,0.498814,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","fld","bias_sd_units",,0.33289839,0.0224387,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","fld","sd_emp",,22.230121,0.351577,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","fld","se_mean",,25.195653,0.0401121,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","fld","se_over_sd",,1.1334015,0.0180157,,,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","fld","cov1_lower",,0.939,0.00535159,0.927646,0.948671,2000,"c4c49572"
"mdgrf","grf","md40 n500","H","fld","cov2",,0.9645,0.00413762,0.955459,0.97176,2000,"c4c49572"
