"table","row","col","alpha","c0","cell","design_hr","n","value","count","denominator","source_column","source_payload"
"S3","conventional","B1",,,"B1","0.657","500",0.095,190,2000,"declared_conv","declcalc0_inull_B1_res_1_2000.rds"
"S3","conventional","B2",,,"B2","0.657","1000",0.0325,65,2000,"declared_conv","declcalc0_inull_B2_res_1_2000.rds"
"S3","conventional","B3",,,"B3","0.657","1500",0.007,14,2000,"declared_conv","declcalc0_inull_B3_res_1_2000.rds"
"S3","conventional","B4",,,"B4","0.721","500",0.2325,465,2000,"declared_conv","declcalc0_inull_B4_res_1_2000.rds"
"S3","conventional","B5",,,"B5","0.721","1000",0.111,222,2000,"declared_conv","declcalc0_inull_B5_res_1_2000.rds"
"S3","conventional","B6",,,"B6","0.721","1500",0.0325,65,2000,"declared_conv","declcalc0_inull_B6_res_1_2000.rds"
"S5","calibrated_c070","B1",0.05,"c070","B1","0.657","500",0.008,16,2000,"declared_cal05_c070","declcalc0_inull_B1_res_1_2000.rds"
"S5","calibrated_c070","B2",0.05,"c070","B2","0.657","1000",0.0065,13,2000,"declared_cal05_c070","declcalc0_inull_B2_res_1_2000.rds"
"S5","calibrated_c070","B3",0.05,"c070","B3","0.657","1500",0.0045,9,2000,"declared_cal05_c070","declcalc0_inull_B3_res_1_2000.rds"
"S5","calibrated_c070","B4",0.05,"c070","B4","0.721","500",0.0315,63,2000,"declared_cal05_c070","declcalc0_inull_B4_res_1_2000.rds"
"S5","calibrated_c070","B5",0.05,"c070","B5","0.721","1000",0.0285,57,2000,"declared_cal05_c070","declcalc0_inull_B5_res_1_2000.rds"
"S5","calibrated_c070","B6",0.05,"c070","B6","0.721","1500",0.021,42,2000,"declared_cal05_c070","declcalc0_inull_B6_res_1_2000.rds"
"S5","calibrated_c070","max_B",0.05,"c070","B4","0.721","500",0.0315,63,2000,"declared_cal05_c070","declcalc0_inull_B4_res_1_2000.rds"
"S5","calibrated_c070","C1",0.05,"c070","C1","1.5","1000",0.5025,1005,2000,"declared_cal05_c070","declcalc0_power_C1_res_1_2000.rds"
"S5","calibrated_c070","C2",0.05,"c070","C2","1.5","1500",0.747,1494,2000,"declared_cal05_c070","declcalc0_power_C2_res_1_2000.rds"
"S5","calibrated_c070","C3",0.05,"c070","C3","2","1000",0.896,1792,2000,"declared_cal05_c070","declcalc0_power_C3_res_1_2000.rds"
"S5","calibrated_c070","C4",0.05,"c070","C4","2","1500",0.983,1966,2000,"declared_cal05_c070","declcalc0_power_C4_res_1_2000.rds"
"S5","calibrated_c075","B1",0.05,"c075","B1","0.657","500",0.0035,7,2000,"declared_cal05_c075","declcalc0_inull_B1_res_1_2000.rds"
"S5","calibrated_c075","B2",0.05,"c075","B2","0.657","1000",0.002,4,2000,"declared_cal05_c075","declcalc0_inull_B2_res_1_2000.rds"
"S5","calibrated_c075","B3",0.05,"c075","B3","0.657","1500",0.003,6,2000,"declared_cal05_c075","declcalc0_inull_B3_res_1_2000.rds"
"S5","calibrated_c075","B4",0.05,"c075","B4","0.721","500",0.013,26,2000,"declared_cal05_c075","declcalc0_inull_B4_res_1_2000.rds"
"S5","calibrated_c075","B5",0.05,"c075","B5","0.721","1000",0.01,20,2000,"declared_cal05_c075","declcalc0_inull_B5_res_1_2000.rds"
