cell	wall_s	workers	meta_workers	reps	simid_1_2000	errors	err_ids	decl_rate	n_decl	campaign	fs_version	seed_base
A7	1936	13	NA	2000	TRUE	0		0.6805	1361	s5rerun	0.3.5.9000	8316951
P31_h100_n500	2679	13	NA	2000	TRUE	0		0.9205	1841	s5rerun	0.3.5.9000	8316951
A1	2439	13	NA	2000	TRUE	0		0.911	1822	s5rerun	0.3.5.9000	8316951
A4	2529	13	NA	2000	TRUE	0		0.95	1900	s5rerun	0.3.5.9000	8316951
P31_h150_n500	3161	13	NA	2000	TRUE	0		0.9995	1999	s5rerun	0.3.5.9000	8316951
P31_h175_n500	3291	13	NA	2000	TRUE	0		0.9995	1999	s5rerun	0.3.5.9000	8316951
A8	1967	13	NA	2000	TRUE	0		0.6595	1319	s5rerun	0.3.5.9000	8316951
P31_h100_n1000	2961	13	NA	2000	TRUE	0		0.9545	1909	s5rerun	0.3.5.9000	8316951
A2	2699	13	NA	2000	TRUE	0		0.974	1948	s5rerun	0.3.5.9000	8316951
A5	2800	13	NA	2000	TRUE	0		0.995	1990	s5rerun	0.3.5.9000	8316951
P31_h150_n1000	3614	13	NA	2000	TRUE	0		1	2000	s5rerun	0.3.5.9000	8316951
P31_h175_n1000	3774	13	NA	2000	TRUE	0		1	2000	s5rerun	0.3.5.9000	8316951
A9	1976	13	NA	2000	TRUE	0		0.624	1248	s5rerun	0.3.5.9000	8316951
P31_h100_n1500	3131	13	NA	2000	TRUE	0		0.959	1918	s5rerun	0.3.5.9000	8316951
A3	2831	13	NA	2000	TRUE	0		0.988	1976	s5rerun	0.3.5.9000	8316951
A6	2900	13	NA	2000	TRUE	0		0.999	1998	s5rerun	0.3.5.9000	8316951
P31_h150_n1500	3895	13	NA	2000	TRUE	0		1	2000	s5rerun	0.3.5.9000	8316951
P31_h175_n1500	4075	13	NA	2000	TRUE	0		1	2000	s5rerun	0.3.5.9000	8316951
