declcal power curve -- declaration rate P(max_T_pre >= k), Wilson 95% intervals, R = 2000 per cell
source: quarto/simulations/gbsg_020/results/declcal_{bnull,inull,power}_*_res_1_2000.rds; generated 2026-09-22 16:33 PDT
fixed k: literal cutoffs on max_T_pre; calibrated: per-replicate cutoff max_T_pre >= Mstar_q{90,95,99}
bnull_same_k: boundary (complete) null rate at the same rule, matched by n (n500 -> A1, n1000 -> A2, n1500 -> A3)

| cell | DGM | n | rule | declaration rate [Wilson 95%] | bnull cell | bnull rate at same rule [Wilson 95%] |
|---|---|---|---|---|---|---|
| A1 | complete null | 500 | k = 1.6449 | 0.9205 [0.9078, 0.9316] | A1 | 0.9205 [0.9078, 0.9316] |
| A1 | complete null | 500 | k = 1.8000 | 0.8745 [0.8593, 0.8883] | A1 | 0.8745 [0.8593, 0.8883] |
| A1 | complete null | 500 | k = 2.0000 | 0.7925 [0.7742, 0.8097] | A1 | 0.7925 [0.7742, 0.8097] |
| A1 | complete null | 500 | k = 2.2000 | 0.6780 [0.6572, 0.6981] | A1 | 0.6780 [0.6572, 0.6981] |
| A1 | complete null | 500 | k = 2.4000 | 0.5410 [0.5191, 0.5627] | A1 | 0.5410 [0.5191, 0.5627] |
| A1 | complete null | 500 | k = 2.6000 | 0.4110 [0.3896, 0.4327] | A1 | 0.4110 [0.3896, 0.4327] |
| A1 | complete null | 500 | k = 2.8000 | 0.2890 [0.2696, 0.3093] | A1 | 0.2890 [0.2696, 0.3093] |
| A1 | complete null | 500 | k = 3.0000 | 0.1915 [0.1749, 0.2093] | A1 | 0.1915 [0.1749, 0.2093] |
| A1 | complete null | 500 | k = 3.2000 | 0.1210 [0.1074, 0.1360] | A1 | 0.1210 [0.1074, 0.1360] |
| A1 | complete null | 500 | k = 3.4000 | 0.0710 [0.0605, 0.0831] | A1 | 0.0710 [0.0605, 0.0831] |
| A1 | complete null | 500 | k = 3.6000 | 0.0370 [0.0296, 0.0462] | A1 | 0.0370 [0.0296, 0.0462] |
| A1 | complete null | 500 | cal a=0.10 (Mstar_q90) | 0.1050 [0.0923, 0.1192] | A1 | 0.1050 [0.0923, 0.1192] |
| A1 | complete null | 500 | cal a=0.05 (Mstar_q95) | 0.0475 [0.0390, 0.0577] | A1 | 0.0475 [0.0390, 0.0577] |
| A1 | complete null | 500 | cal a=0.01 (Mstar_q99) | 0.0115 [0.0077, 0.0172] | A1 | 0.0115 [0.0077, 0.0172] |
| A2 | complete null | 1000 | k = 1.6449 | 0.9425 [0.9314, 0.9519] | A2 | 0.9425 [0.9314, 0.9519] |
| A2 | complete null | 1000 | k = 1.8000 | 0.8965 [0.8824, 0.9091] | A2 | 0.8965 [0.8824, 0.9091] |
| A2 | complete null | 1000 | k = 2.0000 | 0.8195 [0.8020, 0.8357] | A2 | 0.8195 [0.8020, 0.8357] |
| A2 | complete null | 1000 | k = 2.2000 | 0.7070 [0.6867, 0.7265] | A2 | 0.7070 [0.6867, 0.7265] |
| A2 | complete null | 1000 | k = 2.4000 | 0.5800 [0.5582, 0.6015] | A2 | 0.5800 [0.5582, 0.6015] |
| A2 | complete null | 1000 | k = 2.6000 | 0.4415 [0.4199, 0.4634] | A2 | 0.4415 [0.4199, 0.4634] |
| A2 | complete null | 1000 | k = 2.8000 | 0.3080 [0.2882, 0.3286] | A2 | 0.3080 [0.2882, 0.3286] |
| A2 | complete null | 1000 | k = 3.0000 | 0.2065 [0.1893, 0.2248] | A2 | 0.2065 [0.1893, 0.2248] |
| A2 | complete null | 1000 | k = 3.2000 | 0.1295 [0.1155, 0.1449] | A2 | 0.1295 [0.1155, 0.1449] |
| A2 | complete null | 1000 | k = 3.4000 | 0.0740 [0.0633, 0.0863] | A2 | 0.0740 [0.0633, 0.0863] |
| A2 | complete null | 1000 | k = 3.6000 | 0.0410 [0.0332, 0.0506] | A2 | 0.0410 [0.0332, 0.0506] |
| A2 | complete null | 1000 | cal a=0.10 (Mstar_q90) | 0.0950 [0.0829, 0.1086] | A2 | 0.0950 [0.0829, 0.1086] |
| A2 | complete null | 1000 | cal a=0.05 (Mstar_q95) | 0.0490 [0.0404, 0.0594] | A2 | 0.0490 [0.0404, 0.0594] |
| A2 | complete null | 1000 | cal a=0.01 (Mstar_q99) | 0.0090 [0.0057, 0.0142] | A2 | 0.0090 [0.0057, 0.0142] |
| A3 | complete null | 1500 | k = 1.6449 | 0.9420 [0.9309, 0.9514] | A3 | 0.9420 [0.9309, 0.9514] |
| A3 | complete null | 1500 | k = 1.8000 | 0.8955 [0.8813, 0.9082] | A3 | 0.8955 [0.8813, 0.9082] |
| A3 | complete null | 1500 | k = 2.0000 | 0.8125 [0.7948, 0.8290] | A3 | 0.8125 [0.7948, 0.8290] |
| A3 | complete null | 1500 | k = 2.2000 | 0.6850 [0.6643, 0.7050] | A3 | 0.6850 [0.6643, 0.7050] |
| A3 | complete null | 1500 | k = 2.4000 | 0.5425 [0.5206, 0.5642] | A3 | 0.5425 [0.5206, 0.5642] |
| A3 | complete null | 1500 | k = 2.6000 | 0.4015 [0.3802, 0.4232] | A3 | 0.4015 [0.3802, 0.4232] |
| A3 | complete null | 1500 | k = 2.8000 | 0.2890 [0.2696, 0.3093] | A3 | 0.2890 [0.2696, 0.3093] |
| A3 | complete null | 1500 | k = 3.0000 | 0.1820 [0.1657, 0.1995] | A3 | 0.1820 [0.1657, 0.1995] |
| A3 | complete null | 1500 | k = 3.2000 | 0.1110 [0.0980, 0.1255] | A3 | 0.1110 [0.0980, 0.1255] |
| A3 | complete null | 1500 | k = 3.4000 | 0.0620 [0.0522, 0.0734] | A3 | 0.0620 [0.0522, 0.0734] |
| A3 | complete null | 1500 | k = 3.6000 | 0.0330 [0.0260, 0.0418] | A3 | 0.0330 [0.0260, 0.0418] |
| A3 | complete null | 1500 | cal a=0.10 (Mstar_q90) | 0.0840 [0.0726, 0.0970] | A3 | 0.0840 [0.0726, 0.0970] |
| A3 | complete null | 1500 | cal a=0.05 (Mstar_q95) | 0.0430 [0.0350, 0.0528] | A3 | 0.0430 [0.0350, 0.0528] |
| A3 | complete null | 1500 | cal a=0.01 (Mstar_q99) | 0.0100 [0.0065, 0.0154] | A3 | 0.0100 [0.0065, 0.0154] |
| B1 | uniform benefit HR 0.657 | 500 | k = 1.6449 | 0.1220 [0.1084, 0.1371] | A1 | 0.9205 [0.9078, 0.9316] |
| B1 | uniform benefit HR 0.657 | 500 | k = 1.8000 | 0.0770 [0.0661, 0.0895] | A1 | 0.8745 [0.8593, 0.8883] |
| B1 | uniform benefit HR 0.657 | 500 | k = 2.0000 | 0.0435 [0.0354, 0.0533] | A1 | 0.7925 [0.7742, 0.8097] |
| B1 | uniform benefit HR 0.657 | 500 | k = 2.2000 | 0.0220 [0.0164, 0.0294] | A1 | 0.6780 [0.6572, 0.6981] |
| B1 | uniform benefit HR 0.657 | 500 | k = 2.4000 | 0.0085 [0.0053, 0.0136] | A1 | 0.5410 [0.5191, 0.5627] |
| B1 | uniform benefit HR 0.657 | 500 | k = 2.6000 | 0.0040 [0.0020, 0.0079] | A1 | 0.4110 [0.3896, 0.4327] |
| B1 | uniform benefit HR 0.657 | 500 | k = 2.8000 | 0.0015 [0.0005, 0.0044] | A1 | 0.2890 [0.2696, 0.3093] |
| B1 | uniform benefit HR 0.657 | 500 | k = 3.0000 | 0.0005 [0.0001, 0.0028] | A1 | 0.1915 [0.1749, 0.2093] |
| B1 | uniform benefit HR 0.657 | 500 | k = 3.2000 | 0.0005 [0.0001, 0.0028] | A1 | 0.1210 [0.1074, 0.1360] |
| B1 | uniform benefit HR 0.657 | 500 | k = 3.4000 | 0.0005 [0.0001, 0.0028] | A1 | 0.0710 [0.0605, 0.0831] |
| B1 | uniform benefit HR 0.657 | 500 | k = 3.6000 | 0.0005 [0.0001, 0.0028] | A1 | 0.0370 [0.0296, 0.0462] |
| B1 | uniform benefit HR 0.657 | 500 | cal a=0.10 (Mstar_q90) | 0.0005 [0.0001, 0.0028] | A1 | 0.1050 [0.0923, 0.1192] |
| B1 | uniform benefit HR 0.657 | 500 | cal a=0.05 (Mstar_q95) | 0.0005 [0.0001, 0.0028] | A1 | 0.0475 [0.0390, 0.0577] |
| B1 | uniform benefit HR 0.657 | 500 | cal a=0.01 (Mstar_q99) | 0.0000 [0.0000, 0.0019] | A1 | 0.0115 [0.0077, 0.0172] |
| B2 | uniform benefit HR 0.657 | 1000 | k = 1.6449 | 0.0325 [0.0256, 0.0412] | A2 | 0.9425 [0.9314, 0.9519] |
| B2 | uniform benefit HR 0.657 | 1000 | k = 1.8000 | 0.0200 [0.0147, 0.0271] | A2 | 0.8965 [0.8824, 0.9091] |
| B2 | uniform benefit HR 0.657 | 1000 | k = 2.0000 | 0.0110 [0.0073, 0.0166] | A2 | 0.8195 [0.8020, 0.8357] |
| B2 | uniform benefit HR 0.657 | 1000 | k = 2.2000 | 0.0040 [0.0020, 0.0079] | A2 | 0.7070 [0.6867, 0.7265] |
| B2 | uniform benefit HR 0.657 | 1000 | k = 2.4000 | 0.0020 [0.0008, 0.0051] | A2 | 0.5800 [0.5582, 0.6015] |
| B2 | uniform benefit HR 0.657 | 1000 | k = 2.6000 | 0.0010 [0.0003, 0.0036] | A2 | 0.4415 [0.4199, 0.4634] |
| B2 | uniform benefit HR 0.657 | 1000 | k = 2.8000 | 0.0005 [0.0001, 0.0028] | A2 | 0.3080 [0.2882, 0.3286] |
| B2 | uniform benefit HR 0.657 | 1000 | k = 3.0000 | 0.0000 [0.0000, 0.0019] | A2 | 0.2065 [0.1893, 0.2248] |
| B2 | uniform benefit HR 0.657 | 1000 | k = 3.2000 | 0.0000 [0.0000, 0.0019] | A2 | 0.1295 [0.1155, 0.1449] |
| B2 | uniform benefit HR 0.657 | 1000 | k = 3.4000 | 0.0000 [0.0000, 0.0019] | A2 | 0.0740 [0.0633, 0.0863] |
| B2 | uniform benefit HR 0.657 | 1000 | k = 3.6000 | 0.0000 [0.0000, 0.0019] | A2 | 0.0410 [0.0332, 0.0506] |
| B2 | uniform benefit HR 0.657 | 1000 | cal a=0.10 (Mstar_q90) | 0.0000 [0.0000, 0.0019] | A2 | 0.0950 [0.0829, 0.1086] |
| B2 | uniform benefit HR 0.657 | 1000 | cal a=0.05 (Mstar_q95) | 0.0000 [0.0000, 0.0019] | A2 | 0.0490 [0.0404, 0.0594] |
| B2 | uniform benefit HR 0.657 | 1000 | cal a=0.01 (Mstar_q99) | 0.0000 [0.0000, 0.0019] | A2 | 0.0090 [0.0057, 0.0142] |
| B3 | uniform benefit HR 0.657 | 1500 | k = 1.6449 | 0.0070 [0.0042, 0.0117] | A3 | 0.9420 [0.9309, 0.9514] |
| B3 | uniform benefit HR 0.657 | 1500 | k = 1.8000 | 0.0035 [0.0017, 0.0072] | A3 | 0.8955 [0.8813, 0.9082] |
| B3 | uniform benefit HR 0.657 | 1500 | k = 2.0000 | 0.0025 [0.0011, 0.0058] | A3 | 0.8125 [0.7948, 0.8290] |
| B3 | uniform benefit HR 0.657 | 1500 | k = 2.2000 | 0.0015 [0.0005, 0.0044] | A3 | 0.6850 [0.6643, 0.7050] |
| B3 | uniform benefit HR 0.657 | 1500 | k = 2.4000 | 0.0015 [0.0005, 0.0044] | A3 | 0.5425 [0.5206, 0.5642] |
| B3 | uniform benefit HR 0.657 | 1500 | k = 2.6000 | 0.0000 [0.0000, 0.0019] | A3 | 0.4015 [0.3802, 0.4232] |
| B3 | uniform benefit HR 0.657 | 1500 | k = 2.8000 | 0.0000 [0.0000, 0.0019] | A3 | 0.2890 [0.2696, 0.3093] |
| B3 | uniform benefit HR 0.657 | 1500 | k = 3.0000 | 0.0000 [0.0000, 0.0019] | A3 | 0.1820 [0.1657, 0.1995] |
| B3 | uniform benefit HR 0.657 | 1500 | k = 3.2000 | 0.0000 [0.0000, 0.0019] | A3 | 0.1110 [0.0980, 0.1255] |
| B3 | uniform benefit HR 0.657 | 1500 | k = 3.4000 | 0.0000 [0.0000, 0.0019] | A3 | 0.0620 [0.0522, 0.0734] |
| B3 | uniform benefit HR 0.657 | 1500 | k = 3.6000 | 0.0000 [0.0000, 0.0019] | A3 | 0.0330 [0.0260, 0.0418] |
| B3 | uniform benefit HR 0.657 | 1500 | cal a=0.10 (Mstar_q90) | 0.0000 [0.0000, 0.0019] | A3 | 0.0840 [0.0726, 0.0970] |
| B3 | uniform benefit HR 0.657 | 1500 | cal a=0.05 (Mstar_q95) | 0.0000 [0.0000, 0.0019] | A3 | 0.0430 [0.0350, 0.0528] |
| B3 | uniform benefit HR 0.657 | 1500 | cal a=0.01 (Mstar_q99) | 0.0000 [0.0000, 0.0019] | A3 | 0.0100 [0.0065, 0.0154] |
| B4 | uniform benefit HR 0.721 | 500 | k = 1.6449 | 0.2500 [0.2315, 0.2694] | A1 | 0.9205 [0.9078, 0.9316] |
| B4 | uniform benefit HR 0.721 | 500 | k = 1.8000 | 0.1725 [0.1566, 0.1897] | A1 | 0.8745 [0.8593, 0.8883] |
| B4 | uniform benefit HR 0.721 | 500 | k = 2.0000 | 0.0955 [0.0834, 0.1092] | A1 | 0.7925 [0.7742, 0.8097] |
| B4 | uniform benefit HR 0.721 | 500 | k = 2.2000 | 0.0570 [0.0477, 0.0680] | A1 | 0.6780 [0.6572, 0.6981] |
| B4 | uniform benefit HR 0.721 | 500 | k = 2.4000 | 0.0300 [0.0234, 0.0384] | A1 | 0.5410 [0.5191, 0.5627] |
| B4 | uniform benefit HR 0.721 | 500 | k = 2.6000 | 0.0125 [0.0085, 0.0184] | A1 | 0.4110 [0.3896, 0.4327] |
| B4 | uniform benefit HR 0.721 | 500 | k = 2.8000 | 0.0030 [0.0014, 0.0065] | A1 | 0.2890 [0.2696, 0.3093] |
| B4 | uniform benefit HR 0.721 | 500 | k = 3.0000 | 0.0010 [0.0003, 0.0036] | A1 | 0.1915 [0.1749, 0.2093] |
| B4 | uniform benefit HR 0.721 | 500 | k = 3.2000 | 0.0005 [0.0001, 0.0028] | A1 | 0.1210 [0.1074, 0.1360] |
| B4 | uniform benefit HR 0.721 | 500 | k = 3.4000 | 0.0005 [0.0001, 0.0028] | A1 | 0.0710 [0.0605, 0.0831] |
| B4 | uniform benefit HR 0.721 | 500 | k = 3.6000 | 0.0005 [0.0001, 0.0028] | A1 | 0.0370 [0.0296, 0.0462] |
