full | cell 1 | floor p* = 0.50 | B = 5000 | workers = 48
  192 / 5000 done, 30 s
  384 / 5000 done, 59 s
  576 / 5000 done, 85 s
  768 / 5000 done, 113 s
  960 / 5000 done, 139 s
  1152 / 5000 done, 167 s
  1344 / 5000 done, 193 s
  1536 / 5000 done, 221 s
  1728 / 5000 done, 248 s
  1920 / 5000 done, 274 s
  2112 / 5000 done, 301 s
  2304 / 5000 done, 326 s
  2496 / 5000 done, 357 s
  2688 / 5000 done, 385 s
  2880 / 5000 done, 414 s
  3072 / 5000 done, 440 s
  3264 / 5000 done, 466 s
  3456 / 5000 done, 495 s
  3648 / 5000 done, 523 s
  3840 / 5000 done, 551 s
  4032 / 5000 done, 578 s
  4224 / 5000 done, 604 s
  4416 / 5000 done, 631 s
  4608 / 5000 done, 659 s
  4800 / 5000 done, 687 s
  4992 / 5000 done, 714 s
  5000 / 5000 done, 719 s
wall-clock 718.5 s | errored 0 of 5000
cell1 exit 0
