"sim","seed","errored","error_msg","any.H","size.H","sg.def","p.cens","n_candidates_total","n_passed","hr.itt","warnings","seconds"
1,8316952,FALSE,NA,0,0,"",0.577259475218659,24,0,0.649168089823914,"",3.927
2,8316953,FALSE,NA,0,0,"",0.543731778425656,35,0,0.700505664804269,"",3.77
3,8316954,FALSE,NA,1,105,"{grade3} & !{pgr <= 2}",0.565597667638484,140,3,0.784188547858642,"",4.982
4,8316955,FALSE,NA,1,108,"!{meno} & !{age <= 46}",0.571428571428571,41,1,0.713362227615902,"",3.754
5,8316956,FALSE,NA,1,124,"!{nodes <= 5} & {meno}",0.577259475218659,103,4,0.78844230641973,"",4.629
6,8316957,FALSE,NA,0,0,"",0.597667638483965,13,0,0.537506328891319,"",3.706
7,8316958,FALSE,NA,0,0,"",0.564139941690962,2,0,0.597858593710858,"",3.526
8,8316959,FALSE,NA,0,0,"",0.604956268221574,63,0,0.584418054456901,"",4.061
9,8316960,FALSE,NA,0,0,"",0.56268221574344,23,0,0.719990961393309,"",3.522
10,8316961,FALSE,NA,1,79,"!{er <= 62} & {age <= 52}",0.559766763848397,91,1,0.742563880023807,"",4.249
11,8316962,FALSE,NA,0,0,"",0.580174927113703,65,0,0.603940357485986,"",4.113
12,8316963,FALSE,NA,0,0,"",0.567055393586006,237,0,0.874490545502398,"",5.801
13,8316964,FALSE,NA,0,0,"",0.575801749271137,24,0,0.577954566726316,"",3.406
14,8316965,FALSE,NA,0,0,"",0.584548104956268,176,0,0.776892484770137,"",5.257
15,8316966,FALSE,NA,0,0,"",0.574344023323615,106,0,0.806866802162183,"",4.449
16,8316967,FALSE,NA,1,85,"{age <= 46} & {er <= 16}",0.568513119533528,127,1,0.761561589743199,"",4.46899999999999
17,8316968,FALSE,NA,0,0,"",0.583090379008746,25,0,0.633981790420007,"",3.91
18,8316969,FALSE,NA,0,0,"",0.591836734693878,18,0,0.661219944361974,"",3.425
19,8316970,FALSE,NA,1,68,"!{er <= 107} & {er <= 191}",0.543731778425656,165,1,0.814896876391348,"",5.19600000000001
20,8316971,FALSE,NA,0,0,"",0.596209912536443,32,0,0.624817114547227,"",3.90300000000001
21,8316972,FALSE,NA,1,63,"!{pgr <= 39} & {pgr <= 64}",0.567055393586006,25,1,0.619643387569847,"",3.789
22,8316973,FALSE,NA,1,72,"{er <= 9} & {age <= 47}",0.590379008746356,363,14,0.854376607187627,"",6.842
