"sim","seed","errored","error_msg","any.H","size.H","sg.def","p.cens","n_candidates_total","n_passed","hr.itt","warnings","seconds"
1,8316952,FALSE,NA,0,0,"",0.577259475218659,24,0,0.649168089823914,"",3.919
2,8316953,FALSE,NA,0,0,"",0.543731778425656,35,0,0.700505664804269,"",4.147
3,8316954,FALSE,NA,1,105,"{grade3} & !{pgr <= 2}",0.565597667638484,140,3,0.784188547858642,"",5.091
4,8316955,FALSE,NA,1,108,"!{meno} & !{age <= 46}",0.571428571428571,41,1,0.713362227615902,"",4.173
5,8316956,FALSE,NA,1,124,"!{nodes <= 5} & {meno}",0.577259475218659,103,4,0.78844230641973,"",5.096
6,8316957,FALSE,NA,0,0,"",0.597667638483965,13,0,0.537506328891319,"",4.215
7,8316958,FALSE,NA,0,0,"",0.564139941690962,2,0,0.597858593710858,"",4.058
8,8316959,FALSE,NA,0,0,"",0.604956268221574,63,0,0.584418054456901,"",4.323
9,8316960,FALSE,NA,0,0,"",0.56268221574344,23,0,0.719990961393309,"",4.415
10,8316961,FALSE,NA,1,79,"!{er <= 62} & {age <= 52}",0.559766763848397,91,1,0.742563880023807,"",4.977
