"sim","seed","cell","pstar","errored","error_msg","declared","max_pcons","n_rows_out_sg","n_candidates_total","n_passed","sg.def","n","n_treated","events","event_rate","settings_ok","settings_bad","effect_measure","warnings","seconds"
1,8316952,2,0.5,FALSE,NA,1,0.96,46,167,46,"!{er <= 3} & {er <= 17}",686,246,292,0.425655976676385,TRUE,"","NULL","",7.895
2,8316953,2,0.5,FALSE,NA,1,0.92,32,146,32,"!{pgr <= 2} & {er <= 17}",686,246,285,0.415451895043732,TRUE,"","NULL","",6.444
3,8316954,2,0.5,FALSE,NA,1,0.78,9,58,9,"{size <= 20} & !{er <= 3}",686,246,290,0.422740524781341,TRUE,"","NULL","",4.737
4,8316955,2,0.5,FALSE,NA,1,0.95,111,409,111,"!{meno} & {nodes <= 5}",686,246,300,0.43731778425656,TRUE,"","NULL","",7.277
5,8316956,2,0.5,FALSE,NA,1,0.77,12,82,12,"!{er <= 44} & {age <= 53}",686,246,308,0.448979591836735,TRUE,"","NULL","",6.141
6,8316957,2,0.5,FALSE,NA,1,0.97,70,253,70,"!{nodes <= 5} & {er <= 174}",686,246,318,0.463556851311953,TRUE,"","NULL","",7.881
7,8316958,2,0.5,FALSE,NA,1,0.96,101,269,101,"{grade3} & {pgr <= 26}",686,246,304,0.443148688046647,TRUE,"","NULL","",7.239
8,8316959,2,0.5,FALSE,NA,1,0.98,56,200,56,"{nodes <= 1} & {er <= 30}",686,246,321,0.467930029154519,TRUE,"","NULL","",4.862
9,8316960,2,0.5,FALSE,NA,1,0.83,14,56,14,"!{pgr <= 114} & {age <= 61}",686,246,286,0.416909620991254,TRUE,"","NULL","",5.698
10,8316961,2,0.5,FALSE,NA,1,1,164,375,164,"{age <= 53} & !{nodes <= 7}",686,246,292,0.425655976676385,TRUE,"","NULL","",9.871
11,8316962,2,0.5,FALSE,NA,1,0.97,44,137,44,"{size <= 20} & {age <= 53}",686,246,297,0.432944606413994,TRUE,"","NULL","",6.077
12,8316963,2,0.5,FALSE,NA,1,0.69,13,88,13,"{grade3} & {pgr <= 77}",686,246,302,0.440233236151603,TRUE,"","NULL","",3.831
13,8316964,2,0.5,FALSE,NA,1,0.9,30,68,30,"!{er <= 174} & {size <= 35}",686,246,302,0.440233236151603,TRUE,"","NULL","",5.884
14,8316965,2,0.5,FALSE,NA,1,0.99,21,141,21,"!{age <= 61} & {nodes <= 5}",686,246,295,0.43002915451895,TRUE,"","NULL","",6.541
15,8316966,2,0.5,FALSE,NA,1,0.96,45,192,45,"{age <= 46} & {pgr <= 45}",686,246,285,0.415451895043732,TRUE,"","NULL","",6.655
16,8316967,2,0.5,FALSE,NA,1,0.97,60,162,60,"{nodes <= 1} & !{size <= 20}",686,246,322,0.469387755102041,TRUE,"","NULL","",5.105
17,8316968,2,0.5,FALSE,NA,1,0.74,6,32,6,"!{nodes <= 7} & !{pgr <= 2}",686,246,304,0.443148688046647,TRUE,"","NULL","",5.529
18,8316969,2,0.5,FALSE,NA,1,0.9,56,182,56,"{size <= 29} & !{er <= 70}",686,246,283,0.412536443148688,TRUE,"","NULL","",6.99
19,8316970,2,0.5,FALSE,NA,1,0.9,18,75,18,"!{pgr <= 184}",686,246,273,0.397959183673469,TRUE,"","NULL","",5.608
20,8316971,2,0.5,FALSE,NA,1,0.96,34,82,34,"{pgr <= 2} & {age <= 61}",686,246,279,0.406705539358601,TRUE,"","NULL","",4.535
21,8316972,2,0.5,FALSE,NA,1,0.95,41,202,41,"!{age <= 61} & !{pgr <= 26}",686,246,301,0.438775510204082,TRUE,"","NULL","",8.284
22,8316973,2,0.5,FALSE,NA,1,0.88,17,52,17,"!{nodes <= 5} & {nodes <= 7}",686,246,313,0.456268221574344,TRUE,"","NULL","",5.1
23,8316974,2,0.5,FALSE,NA,1,0.96,87,210,87,"!{size <= 29} & {size <= 35}",686,246,310,0.451895043731778,TRUE,"","NULL","",7.034
24,8316975,2,0.5,FALSE,NA,1,0.99,190,451,190,"{er <= 0}",686,246,310,0.451895043731778,TRUE,"","NULL","",6.951
25,8316976,2,0.5,FALSE,NA,1,0.85,8,25,8,"{age <= 53} & {meno}",686,246,295,0.43002915451895,TRUE,"","NULL","",5.26
26,8316977,2,0.5,FALSE,NA,1,0.72,6,62,6,"{nodes <= 1} & !{er <= 0}",686,246,298,0.434402332361516,TRUE,"","NULL","",5.441
27,8316978,2,0.5,FALSE,NA,1,0.92,21,81,21,"{size <= 29} & {pgr <= 8}",686,246,285,0.415451895043732,TRUE,"","NULL","",5.283
28,8316979,2,0.5,FALSE,NA,1,0.99,78,283,78,"{grade3} & {er <= 17}",686,246,307,0.447521865889213,TRUE,"","NULL","Loglik converged before variable  1 ; coefficient may be infinite. ",7.177
29,8316980,2,0.5,FALSE,NA,1,0.73,8,77,8,"!{pgr <= 77} & !{size <= 20}",686,246,288,0.419825072886297,TRUE,"","NULL","",6.231
30,8316981,2,0.5,FALSE,NA,1,0.94,17,108,17,"!{meno} & !{pgr <= 77}",686,246,313,0.456268221574344,TRUE,"","NULL","",5.925
31,8316982,2,0.5,FALSE,NA,1,0.69,5,29,5,"{er <= 17} & !{size <= 25}",686,246,294,0.428571428571429,TRUE,"","NULL","",4.681
32,8316983,2,0.5,FALSE,NA,1,0.71,7,62,7,"{nodes <= 1} & !{grade3}",686,246,322,0.469387755102041,TRUE,"","NULL","",4.903
33,8316984,2,0.5,FALSE,NA,1,0.94,23,83,23,"!{er <= 3} & {age <= 46}",686,246,313,0.456268221574344,TRUE,"","NULL","",6.697
34,8316985,2,0.5,FALSE,NA,1,0.79,6,71,6,"{pgr <= 16} & !{er <= 3}",686,246,315,0.459183673469388,TRUE,"","NULL","",5.215
35,8316986,2,0.5,FALSE,NA,1,0.73,4,18,4,"{nodes <= 5} & {er <= 17}",686,246,299,0.435860058309038,TRUE,"","NULL","",4.675
36,8316987,2,0.5,FALSE,NA,1,0.65,6,33,6,"!{er <= 30} & {er <= 100}",686,246,302,0.440233236151603,TRUE,"","NULL","",4.781
37,8316988,2,0.5,FALSE,NA,1,0.96,65,218,65,"!{er <= 44} & {er <= 70}",686,246,299,0.435860058309038,TRUE,"","NULL","",8.774
38,8316989,2,0.5,FALSE,NA,1,0.8,3,11,3,"!{pgr <= 77} & {er <= 44}",686,246,293,0.427113702623907,TRUE,"","NULL","",4.445
39,8316990,2,0.5,FALSE,NA,1,0.63,10,123,10,"!{age <= 46} & !{er <= 174}",686,246,326,0.475218658892128,TRUE,"","NULL","",6.075
40,8316991,2,0.5,FALSE,NA,1,0.6,1,8,1,"!{er <= 9} & {er <= 44}",686,246,303,0.441690962099125,TRUE,"","NULL","",3.654
41,8316992,2,0.5,FALSE,NA,1,0.62,1,16,1,"!{pgr <= 45} & {er <= 44}",686,246,295,0.43002915451895,TRUE,"","NULL","",5.551
42,8316993,2,0.5,FALSE,NA,1,0.72,1,12,1,"{size <= 25} & {grade3}",686,246,294,0.428571428571429,TRUE,"","NULL","",4.573
43,8316994,2,0.5,FALSE,NA,1,0.84,7,30,7,"{age <= 53} & !{age <= 46}",686,246,306,0.446064139941691,TRUE,"","NULL","",4.697
44,8316995,2,0.5,FALSE,NA,1,0.78,5,21,5,"!{er <= 17} & {er <= 44}",686,246,297,0.432944606413994,TRUE,"","NULL","",4.399
45,8316996,2,0.5,FALSE,NA,1,0.98,84,188,84,"{nodes <= 3} & !{er <= 100}",686,246,293,0.427113702623907,TRUE,"","NULL","",8.229
46,8316997,2,0.5,FALSE,NA,1,0.95,106,352,106,"{pgr <= 114} & {age <= 53}",686,246,307,0.447521865889213,TRUE,"","NULL","",8.752
47,8316998,2,0.5,FALSE,NA,1,0.57,4,23,4,"!{nodes <= 3} & {nodes <= 5}",686,246,305,0.444606413994169,TRUE,"","NULL","",4.452
48,8316999,2,0.5,FALSE,NA,1,0.82,13,46,13,"{grade3} & {pgr <= 26}",686,246,324,0.472303206997085,TRUE,"","NULL","",3.615
49,8317000,2,0.5,FALSE,NA,1,0.89,25,98,25,"{size <= 35} & {age <= 46}",686,246,268,0.39067055393586,TRUE,"","NULL","",6.286
50,8317001,2,0.5,FALSE,NA,1,0.83,15,70,15,"{meno} & !{er <= 174}",686,246,288,0.419825072886297,TRUE,"","NULL","Loglik converged before variable  1 ; coefficient may be infinite. ",5.18
51,8317002,2,0.5,FALSE,NA,1,0.94,11,55,11,"{age <= 46} & {nodes <= 7}",686,246,313,0.456268221574344,TRUE,"","NULL","",5.247
52,8317003,2,0.5,FALSE,NA,1,0.86,8,50,8,"{nodes <= 1} & {pgr <= 16}",686,246,298,0.434402332361516,TRUE,"","NULL","",4.818
53,8317004,2,0.5,FALSE,NA,1,0.98,176,346,176,"!{pgr <= 184} & !{er <= 17}",686,246,295,0.43002915451895,TRUE,"","NULL","",9.486
54,8317005,2,0.5,FALSE,NA,1,0.69,6,55,6,"!{size <= 25} & {er <= 17}",686,246,307,0.447521865889213,TRUE,"","NULL","",5.185
55,8317006,2,0.5,FALSE,NA,1,0.8,4,13,4,"{er <= 44} & !{er <= 17}",686,246,296,0.431486880466472,TRUE,"","NULL","",4.447
56,8317007,2,0.5,FALSE,NA,1,0.72,3,19,3,"!{pgr <= 2} & {er <= 17}",686,246,290,0.422740524781341,TRUE,"","NULL","",3.732
