"sim","seed","cell","pstar","errored","error_msg","declared","max_pcons","n_rows_out_sg","n_candidates_total","n_passed","sg.def","n","n_treated","events","event_rate","settings_ok","settings_bad","effect_measure","warnings","seconds"
1,8316952,1,0.9,FALSE,NA,0,NA,0,16,0,"",686,246,296,0.431486880466472,TRUE,"","NULL","",5.186
2,8316953,1,0.9,FALSE,NA,1,0.99,5,223,5,"{age <= 46} & {er <= 9}",686,246,280,0.408163265306122,TRUE,"","NULL","",7.373
3,8316954,1,0.9,FALSE,NA,1,0.93,6,159,6,"!{pgr <= 26} & !{er <= 100}",686,246,288,0.419825072886297,TRUE,"","NULL","",6.413
4,8316955,1,0.9,FALSE,NA,0,NA,0,36,0,"",686,246,273,0.397959183673469,TRUE,"","NULL","",4.028
5,8316956,1,0.9,FALSE,NA,0,NA,0,73,0,"",686,246,307,0.447521865889213,TRUE,"","NULL","",5.906
6,8316957,1,0.9,FALSE,NA,1,0.97,2,103,2,"!{pgr <= 77} & {er <= 100}",686,246,284,0.41399416909621,TRUE,"","NULL","",5.665
7,8316958,1,0.9,FALSE,NA,1,0.92,1,46,1,"!{size <= 35} & !{age <= 46}",686,246,298,0.434402332361516,TRUE,"","NULL","",5.13
8,8316959,1,0.9,FALSE,NA,0,NA,0,14,0,"",686,246,296,0.431486880466472,TRUE,"","NULL","",4.057
9,8316960,1,0.9,FALSE,NA,1,1,32,164,32,"!{pgr <= 184} & {age <= 61}",686,246,291,0.424198250728863,TRUE,"","NULL","",4.696
10,8316961,1,0.9,FALSE,NA,1,0.98,4,148,4,"!{age <= 61} & {er <= 70}",686,246,280,0.408163265306122,TRUE,"","NULL","",7.283
11,8316962,1,0.9,FALSE,NA,1,0.97,3,162,3,"{er <= 17} & {size <= 20}",686,246,312,0.454810495626822,TRUE,"","NULL","",6.588
12,8316963,1,0.9,FALSE,NA,0,NA,0,40,0,"",686,246,267,0.389212827988338,TRUE,"","NULL","",4.689
13,8316964,1,0.9,FALSE,NA,0,NA,0,39,0,"",686,246,291,0.424198250728863,TRUE,"","NULL","",4.209
14,8316965,1,0.9,FALSE,NA,1,0.96,4,90,4,"!{age <= 53} & {er <= 17}",686,246,317,0.462099125364431,TRUE,"","NULL","",6.534
15,8316966,1,0.9,FALSE,NA,1,0.97,1,61,1,"!{age <= 61} & !{er <= 9}",686,246,295,0.43002915451895,TRUE,"","NULL","",5.065
16,8316967,1,0.9,FALSE,NA,0,NA,0,39,0,"",686,246,285,0.415451895043732,TRUE,"","NULL","",4.725
17,8316968,1,0.9,FALSE,NA,1,0.95,3,104,3,"{er <= 70} & !{pgr <= 45}",686,246,300,0.43731778425656,TRUE,"","NULL","",5.481
18,8316969,1,0.9,FALSE,NA,0,NA,0,16,0,"",686,246,291,0.424198250728863,TRUE,"","NULL","",5.202
19,8316970,1,0.9,FALSE,NA,0,NA,0,114,0,"",686,246,317,0.462099125364431,TRUE,"","NULL","",6.06
